Month,Price per galon
Feb 2023,4.761
Jan 2023,4.555
Dec 2022,4.619
Nov 2022,5.387
Oct 2022,6.096
Sep 2022,5.567
Aug 2022,5.513
Jul 2022,6.087
Jun 2022,6.47
May 2022,6.052
Apr 2022,5.867
Mar 2022,5.829
Feb 2022,4.82
Jan 2022,4.736
Dec 2021,4.759
Nov 2021,4.748
Oct 2021,4.56
Sep 2021,4.469
Aug 2021,4.476
Jul 2021,4.415
Jun 2021,4.338
May 2021,4.228
Apr 2021,4.074
Mar 2021,3.937
Feb 2021,3.589
Jan 2021,3.411
Dec 2020,3.297
Nov 2020,3.269
Oct 2020,3.289
Sep 2020,3.323
Aug 2020,3.295
Jul 2020,3.238
Jun 2020,3.123
May 2020,2.937
Apr 2020,2.996
Mar 2020,3.414
Feb 2020,3.602
Jan 2020,3.633
Dec 2019,3.743
Nov 2019,4.077
Oct 2019,4.248
Sep 2019,3.821
Aug 2019,3.686
Jul 2019,3.796
Jun 2019,3.903
May 2019,4.132
Apr 2019,4.014
Mar 2019,3.458
Feb 2019,3.355
Jan 2019,3.352
Dec 2018,3.489
Nov 2018,3.754
Oct 2018,3.877
Sep 2018,3.704
Aug 2018,3.679
Jul 2018,3.721
Jun 2018,3.784
May 2018,3.797
Apr 2018,3.696
Mar 2018,3.559
Feb 2018,3.497
Jan 2018,3.351
Dec 2017,3.267
Nov 2017,3.377
Oct 2017,3.215
Sep 2017,3.299
Aug 2017,3.153
Jul 2017,3.08
Jun 2017,3.158
May 2017,3.18
Apr 2017,3.146
Mar 2017,3.138
Feb 2017,3.023
Jan 2017,2.924
Dec 2016,2.818
Nov 2016,2.865
Oct 2016,2.935
Sep 2016,2.88
Aug 2016,2.816
Jul 2016,2.985
Jun 2016,3.002
May 2016,2.927
Apr 2016,2.892
Mar 2016,2.748
Feb 2016,2.546
Jan 2016,2.892
Dec 2015,2.844
Nov 2015,2.888
Oct 2015,3.01
Sep 2015,3.243
Aug 2015,3.666
Jul 2015,3.884
Jun 2015,3.661
May 2015,3.87
Apr 2015,3.326
Mar 2015,3.451
Feb 2015,2.82
Jan 2015,2.661
Dec 2014,2.98
Nov 2014,3.299
Oct 2014,3.648
Sep 2014,3.882
Aug 2014,4.027
Jul 2014,4.172
Jun 2014,4.226
May 2014,4.283
Apr 2014,4.272
Mar 2014,4.046
Feb 2014,3.789
Jan 2014,3.728
Dec 2013,3.704
Nov 2013,3.702
Oct 2013,3.887
Sep 2013,4.048
Aug 2013,3.981
Jul 2013,4.118
Jun 2013,4.109
May 2013,4.112
Apr 2013,4.09
Mar 2013,4.254
Feb 2013,4.189
Jan 2013,3.739
Dec 2012,3.688
Nov 2012,3.954
Oct 2012,4.519
Sep 2012,4.268
Aug 2012,4.169
Jul 2012,3.881
Jun 2012,4.192
May 2012,4.413
Apr 2012,4.353
Mar 2012,4.474
Feb 2012,4.086
Jan 2012,3.81
Dec 2011,3.712
Nov 2011,3.912
Oct 2011,3.952
Sep 2011,4.03
Aug 2011,3.882
Jul 2011,3.904
Jun 2011,4.026
May 2011,4.29
Apr 2011,4.266
Mar 2011,4.06
Feb 2011,3.634
Jan 2011,3.449
Dec 2010,3.358
Nov 2010,3.269
Oct 2010,3.208
Sep 2010,3.127
Aug 2010,3.246
Jul 2010,3.233
Jun 2010,3.197
May 2010,3.197
Apr 2010,3.198
Mar 2010,3.163
Feb 2010,3.056
Jan 2010,3.126
Dec 2009,3.027
Nov 2009,3.069
Oct 2009,3.124
Sep 2009,3.228
Aug 2009,3.117
Jul 2009,2.98
Jun 2009,3.027
May 2009,2.589
Apr 2009,2.435
Mar 2009,2.305
Feb 2009,2.321
Jan 2009,2.108
Dec 2008,1.933
Nov 2008,2.575
Oct 2008,3.507
Sep 2008,3.906
Aug 2008,4.191
Jul 2008,4.577
Jun 2008,4.593
May 2008,4.073
Apr 2008,3.906
Mar 2008,3.67
Feb 2008,3.294
Jan 2008,3.359
Dec 2007,3.413
Nov 2007,3.454
Oct 2007,3.174
Sep 2007,2.986
Aug 2007,3.013
Jul 2007,3.237
Jun 2007,3.394
May 2007,3.547
Apr 2007,3.4
Mar 2007,3.165
Feb 2007,2.77
Jan 2007,2.674
Dec 2006,2.645
Nov 2006,2.569
Oct 2006,2.65
Sep 2006,2.996
Aug 2006,3.271
Jul 2006,3.319
Jun 2006,3.32
May 2006,3.396
Apr 2006,2.982
Mar 2006,2.681
Feb 2006,2.598
Jan 2006,2.481
Dec 2005,2.376
Nov 2005,2.626
Oct 2005,2.98
Sep 2005,3.086
Aug 2005,2.777
Jul 2005,2.614
Jun 2005,2.468
May 2005,2.579
Apr 2005,2.654
Mar 2005,2.404
Feb 2005,2.223
Jan 2005,2.077
Dec 2004,2.203
Nov 2004,2.409
Oct 2004,2.433
Sep 2004,2.174
Aug 2004,2.191
Jul 2004,2.294
Jun 2004,2.382
May 2004,2.359
Apr 2004,2.245
Mar 2004,2.206
Feb 2004,1.975
Jan 2004,1.785
Dec 2003,1.746
Nov 2003,1.805
Oct 2003,1.903
Sep 2003,2.128
Aug 2003,1.973
Jul 2003,1.851
Jun 2003,1.868
May 2003,1.952
Apr 2003,2.157
Mar 2003,2.211
Feb 2003,1.914
Jan 2003,1.725
Dec 2002,1.651
Nov 2002,1.682
Oct 2002,1.641
Sep 2002,1.689
Aug 2002,1.699
Jul 2002,1.71
Jun 2002,1.693
May 2002,1.68
Apr 2002,1.717
Mar 2002,1.567
Feb 2002,1.377
Jan 2002,1.288
Dec 2001,1.264
Nov 2001,1.461
Oct 2001,1.65
Sep 2001,1.766
Aug 2001,1.672
Jul 2001,1.884
Jun 2001,2.037
May 2001,2.05
Apr 2001,1.89
Mar 2001,1.794
Feb 2001,1.737
Jan 2001,1.705
Dec 2000,1.786
Nov 2000,1.866
Oct 2000,1.911
Sep 2000,1.919
Aug 2000,1.774
Jul 2000,1.81
Jun 2000,1.726
